epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5382.19,1.93278,1.21279,1.16705,0.72822,0.62845,0.68969,0.35421,1.73658,1.15567,1.11383,0.0014588,0.0014588,0.0014588
43,5962.15,1.95268,1.22639,1.17695,0.7389,0.625,0.70523,0.37218,1.71905,1.09296,1.10766,0.0014456,0.0014456,0.0014456
44,6018.51,1.95889,1.23907,1.18849,0.72799,0.61622,0.68771,0.3364,1.78959,1.11973,1.1273,0.0014324,0.0014324,0.0014324
45,6061.43,1.95795,1.21699,1.18169,0.74288,0.62532,0.70037,0.36477,1.727,1.07727,1.11149,0.0014192,0.0014192,0.0014192
46,6107.81,1.94543,1.21655,1.17575,0.73643,0.62441,0.69578,0.36198,1.71962,1.07208,1.10941,0.001406,0.001406,0.001406
47,6166.75,1.93745,1.20626,1.16112,0.74053,0.62758,0.70119,0.36763,1.71295,1.07994,1.10487,0.0013928,0.0013928,0.0013928
48,6224.32,1.94391,1.19998,1.16591,0.72852,0.61814,0.68563,0.33222,1.80417,1.18696,1.13095,0.0013796,0.0013796,0.0013796
49,6914.96,1.92176,1.2199,1.17005,0.74505,0.62002,0.69799,0.3719,1.71314,1.07754,1.10546,0.0013664,0.0013664,0.0013664
50,6970.24,1.92683,1.21509,1.16427,0.72634,0.63804,0.69816,0.36473,1.70677,1.1386,1.10393,0.0013532,0.0013532,0.0013532
51,7029.37,1.93765,1.18553,1.16147,0.75479,0.62741,0.70583,0.36415,1.75966,1.06286,1.12005,0.00134,0.00134,0.00134
52,7350.39,1.91978,1.1908,1.16967,0.73593,0.6365,0.704,0.36637,1.71432,1.07274,1.10553,0.0013268,0.0013268,0.0013268
53,7400.91,1.90474,1.18121,1.16302,0.74576,0.63485,0.70992,0.37599,1.72694,1.04519,1.10906,0.0013136,0.0013136,0.0013136
54,7440.29,1.91123,1.18838,1.15492,0.74277,0.63804,0.71035,0.37782,1.71154,1.03918,1.10398,0.0013004,0.0013004,0.0013004
55,7485.35,1.91369,1.18853,1.15466,0.74757,0.6351,0.71257,0.37602,1.72351,1.03837,1.10373,0.0012872,0.0012872,0.0012872
56,7532.62,1.90804,1.18477,1.16836,0.74332,0.64015,0.71077,0.37067,1.7647,1.05795,1.118,0.001274,0.001274,0.001274
57,7605.03,1.92313,1.20232,1.1739,0.74498,0.63347,0.71014,0.3772,1.70183,1.03987,1.10491,0.0012608,0.0012608,0.0012608
58,8706.22,1.9033,1.17662,1.15978,0.75089,0.63236,0.71285,0.37907,1.7089,1.0756,1.10274,0.0012476,0.0012476,0.0012476
59,8759.65,1.89692,1.17854,1.16559,0.74584,0.62587,0.70328,0.37142,1.69932,1.05729,1.09783,0.0012344,0.0012344,0.0012344
60,8813.88,1.88084,1.15623,1.16218,0.72786,0.63226,0.69501,0.34392,1.78302,1.09665,1.12687,0.0012212,0.0012212,0.0012212
61,8871.2,1.89847,1.17526,1.16,0.7528,0.63341,0.71488,0.37863,1.69457,1.043,1.09756,0.001208,0.001208,0.001208
62,9352.14,1.87634,1.14704,1.14077,0.74016,0.6326,0.70276,0.37104,1.71092,1.08272,1.10123,0.0011948,0.0011948,0.0011948
63,9397.89,1.90392,1.1694,1.1531,0.7458,0.6373,0.71405,0.37874,1.71044,1.02595,1.10179,0.0011816,0.0011816,0.0011816
64,9434.69,1.90381,1.1774,1.15503,0.74604,0.63942,0.7145,0.37959,1.69682,1.02886,1.09782,0.0011684,0.0011684,0.0011684
65,9496.5,1.88392,1.15717,1.15195,0.73647,0.64064,0.70784,0.37178,1.70486,1.07941,1.1,0.0011552,0.0011552,0.0011552
66,9562.46,1.89971,1.163,1.15531,0.74959,0.63328,0.71095,0.38113,1.69807,1.01847,1.09906,0.001142,0.001142,0.001142
67,9631.23,1.87297,1.14533,1.15352,0.73729,0.63533,0.70905,0.37446,1.70043,1.06582,1.0965,0.0011288,0.0011288,0.0011288
68,9676.37,1.87711,1.15655,1.15115,0.73797,0.63823,0.71204,0.37656,1.7068,1.03595,1.10011,0.0011156,0.0011156,0.0011156
69,9732.22,1.90377,1.15907,1.14277,0.74652,0.63122,0.71198,0.38153,1.70033,1.02262,1.09802,0.0011024,0.0011024,0.0011024
70,9788.33,1.88396,1.1458,1.1468,0.735,0.64127,0.71047,0.37318,1.70719,1.04336,1.09981,0.0010892,0.0010892,0.0010892
71,9835.18,1.88788,1.14874,1.14541,0.74644,0.63931,0.71644,0.38314,1.68292,1.02605,1.09286,0.001076,0.001076,0.001076
72,9888.35,1.87528,1.1423,1.14328,0.74372,0.64135,0.71509,0.37806,1.69387,1.05645,1.09509,0.0010628,0.0010628,0.0010628
73,10513.9,1.89071,1.15123,1.14234,0.74782,0.64274,0.71721,0.38106,1.69497,1.01305,1.09585,0.0010496,0.0010496,0.0010496
74,10591.4,1.9082,1.16484,1.15065,0.74442,0.62296,0.70539,0.37708,1.7091,1.04788,1.09704,0.0010364,0.0010364,0.0010364
75,10674,1.8641,1.14108,1.13883,0.74832,0.64596,0.71939,0.38384,1.68572,1.05865,1.09308,0.0010232,0.0010232,0.0010232
76,10742.4,1.86311,1.1377,1.1364,0.74188,0.6361,0.71244,0.38005,1.69074,1.02551,1.09321,0.00101,0.00101,0.00101
77,10789.6,1.87081,1.13863,1.15053,0.74206,0.64429,0.71611,0.38231,1.68886,1.03114,1.09044,0.0009968,0.0009968,0.0009968
78,10829.5,1.86652,1.12506,1.14071,0.73827,0.64503,0.7156,0.38175,1.68357,1.02969,1.09135,0.0009836,0.0009836,0.0009836
